NCT_ID,Frozen_JSON_SHA256,Frozen_JSON_Size_Bytes,Source
NCT00596752,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e,82377,ClinicalTrials.gov complete official JSON
NCT00607646,54957a339c58ff64a58ece24e4e6b36be348a91db58c98ee8b16174ba475a9c5,7517,ClinicalTrials.gov complete official JSON
NCT00613808,3e3a0b170f818563c34708a7d14595a92e9b11f33a631cd590f265e9b976c2b2,5509,ClinicalTrials.gov complete official JSON
NCT00617825,1a1694c60f1d5895be8837fd91114a79db46657e41df1e6a89202b5e5d0a1d19,7704,ClinicalTrials.gov complete official JSON
NCT00623948,3fc99e7a6ea73617726d768a4a21d1c33c729fcca49d583949245a87eb2eb6d3,7906,ClinicalTrials.gov complete official JSON
NCT00624806,76fa1a69e061f9f53cf23c4f246f6fe6ff0987cbb84a18cab0f4fed300d04f10,32487,ClinicalTrials.gov complete official JSON
NCT00627094,e2e873c02c9a0eee8d0c7c3f080090c82aac39a070fce73db2b5cbc2a4ce6539,19580,ClinicalTrials.gov complete official JSON
NCT00627107,ab4f20098b97b5ee020dab2b33820b1fae26b85d12f10978a336133690eafe6f,5091,ClinicalTrials.gov complete official JSON
NCT00628004,68741b58f2d726ec7b7e326ba49d179ae5f416c27ce4825361fbe257d1a90dba,4682,ClinicalTrials.gov complete official JSON
NCT00628602,5542e79321c4fe92c8a51d8349ca246d0004c8a84f17d84a050c5cde84c57870,8171,ClinicalTrials.gov complete official JSON
NCT00629642,efef25ff1e10133b8fbaf0ebf99bc1c96ab0f8dca4df9c95af30ea4a516e1bd6,14818,ClinicalTrials.gov complete official JSON
NCT00646958,ab7df7a6aeaf487c11483642b9ccd3d55855981ad0696bfd556900b96486a26b,23521,ClinicalTrials.gov complete official JSON
NCT00648674,8f7b671f9d587aa1508c42f093a1490dbd5c4934a486a82c511b7e62ef5eea57,6712,ClinicalTrials.gov complete official JSON
NCT00656383,bd2372b6a3d8a9bc6bec626f0b8d7696eb9fa6280dbe009a23d8be2c4a7bb6c4,9773,ClinicalTrials.gov complete official JSON
NCT00660049,f476363bffb5bcd155d6eb92cc8e3319a6269f8f3bd0f8e78a1daeded28d1cd7,10636,ClinicalTrials.gov complete official JSON
NCT00660348,9492f7ce93829feecceda29f38d082a239bae5bed44ba9fa6b5eb9e014e69965,20742,ClinicalTrials.gov complete official JSON
NCT00663091,3ce6a2875d73a98a3fdb51f3e825f26b3ec3c8dadf8f9727a72cab262aac2e9d,9052,ClinicalTrials.gov complete official JSON
NCT00665535,bf5de46fb4e2b82077c3da62cd55c6f2a968e94cfcc1336a0e7829b04589bc69,15936,ClinicalTrials.gov complete official JSON
NCT00671580,f63959a87990835499c4e87d45e985d8f2da2c56d635f4213c022f0266fda09f,15555,ClinicalTrials.gov complete official JSON
NCT00676260,682bc558665b4272a6a8eb3768b35c3badd734fd8844887cab9049931a768adf,8674,ClinicalTrials.gov complete official JSON
NCT00678847,a4373a5c8f99ca7b667ac3ac88ae554601fb6fa65dde81d6763821edcbe12fa8,6641,ClinicalTrials.gov complete official JSON
NCT00691821,0afcd4f2ba739ed84ebc2cd50ac53f1a3eec91ae2c4447386c45c80ee16b080e,11601,ClinicalTrials.gov complete official JSON
NCT00719810,3a3c29b2633606a4e7e456ca7d878d4ab8b77360499fdbb29e885186301f11eb,23846,ClinicalTrials.gov complete official JSON
NCT00720239,57f710da23771984f0e9919451f201f13ddc9cca0cf1eeb9b8ea2d7b5f232c24,5721,ClinicalTrials.gov complete official JSON
NCT00727701,7d577b6857f82280e71ff2baa3327303ada05ce466bd2b2b15ed2f40d184ba66,5603,ClinicalTrials.gov complete official JSON
NCT00759434,4edba2e628d83915db8cd1922b5c29d1e2af691779ddbf68a122a6d9971aaac6,9742,ClinicalTrials.gov complete official JSON
NCT00761839,da29c01caae1c6969406239d96ef2504f2383b916b43ab08f1f66990fa668b97,5111,ClinicalTrials.gov complete official JSON
NCT00762138,e8265109364431296f8d3b5999a747aab40a81bfbba8d0aac699a9453df33f52,11605,ClinicalTrials.gov complete official JSON
NCT00762723,b090fb7ec19df022e8286a02a4b8d36b6d4102b5ca66538d5952c413eff3a173,19145,ClinicalTrials.gov complete official JSON
NCT00762905,2bc4b7e1bebd20fffc9b1013173913820ffb9f0c237d1ccb3b89976b5635894e,7938,ClinicalTrials.gov complete official JSON
NCT00763282,6b178884623a868bf1f0a9ce1af01572a154f42a838e850808892b0807ba705b,46805,ClinicalTrials.gov complete official JSON
NCT00765544,0f9b8393c5544e3e1b2f3c826cb242fa3d140d0cd805c791b642ad47f1934f1e,6244,ClinicalTrials.gov complete official JSON
NCT00766272,68e8346ad344a43159853fdebe4b6155d11030459efe0c9cffcb55de7ee5aff3,7970,ClinicalTrials.gov complete official JSON
NCT00771238,1f77b56e3a0da5f7b68c771a6b8d5f01a1a6edcb5f52527438236120f07a4ac4,12164,ClinicalTrials.gov complete official JSON
NCT00771368,be6a524d4e8ca1aba263d01397615aca41211fb95cd4b6a7f3f75e5029137a06,5026,ClinicalTrials.gov complete official JSON
NCT00796042,daca4fed7fb69a432eb518982b57393318e0f02fcc6f67b207b8a84811a798a9,26541,ClinicalTrials.gov complete official JSON
NCT00796588,1e9502e5dc9a8d0802c6b0f1c86b44025c9b236b7d37d64029e8d0d7fd7ed077,8314,ClinicalTrials.gov complete official JSON
NCT00797706,bd5fccfae78f04a679d03bacb6a2dc8ad729c281f330634000f44f58ecea1503,9101,ClinicalTrials.gov complete official JSON
