Outcome_ID,NCT_ID,Outcome_Level,Measure,Description,Time_Frame,Final_Outcome_Framework,Final_Outcome_Domain,Final_Outcome_Mapping,Final_Reporter,Final_Instrument_Name,Final_Instrument_Status,Final_Instrument_Validity,Final_Unit_of_Analysis,Final_Outcome_Nature,Final_Record_Source,Source_Field,JSON_Pointer,Raw_JSON_SHA256
NCT00596752__OUTCOME_001,NCT00596752,PRIMARY,Complete Healing of Ischemic Necroses and Ulcerations at 12 Weeks After the End of Study Drug Treatment,"The assessment of ulcer area was collected per lesion with up to 2 lesions per subject (both legs could be affected). In the analysis a subject is only considered completely healed at a time point, if all ischemic lesions are reported as completely healed at that time point.",At 12 weeks after the end of study drug treatment,COREVEN,healing,complete_healing,DEVICE_OR_LAB,,UNKNOWN,UNCLEAR,REQUIRES_EXPERT_DECISION,INTERMEDIATE_OR_SURROGATE,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/primaryOutcomes/0,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_002,NCT00596752,PRIMARY,Occurrence of Major Amputations at 24 Weeks After the End of Study Drug Treatment,"Assessment of amputations was collected per leg affected by a lesion with up to 2 lesions per subject. Amputations were regarded as major if they were performed at the ankle joint level or above. Amputations of toes or part of the foot leaving a stump thereon the subject can walk were regarded as minor. An affected leg is defined as a leg with at least 1 lesion on Study Day -6 to -2 and only amputations of affected legs are considered in the efficacy analysis of amputations. A subject is counted as major/minor amputated, if at least 1 affected leg was major/minor amputated.",At 24 weeks after the end of study drug treatment,COREVEN,other,unmapped_other,REQUIRES_EXPERT_DECISION,,UNKNOWN,UNCLEAR,REQUIRES_EXPERT_DECISION,UNCLEAR,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/primaryOutcomes/1,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_003,NCT00596752,SECONDARY,Complete Healing of Ischemic Necroses and Ulcerations at 24 Weeks After the End of Study Drug Treatment,"The assessment of ulcer area was collected per lesion with up to 2 lesions per subject (both legs could be affected). In the analysis a subject is only considered completely healed at a time point, if all ischemic lesions are reported as completely healed at that time point.",At 24 weeks after the end of study drug treatment,COREVEN,healing,complete_healing,DEVICE_OR_LAB,,UNKNOWN,UNCLEAR,REQUIRES_EXPERT_DECISION,INTERMEDIATE_OR_SURROGATE,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/0,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_004,NCT00596752,SECONDARY,Intensity of Rest Pain Induced by Ischemic Lesions at 24 Weeks After the End of Study Drug Treatment,"Visit values of intensity of rest pain from a visual analogue scale, ranging from 0 mm (no pain) to 100 mm (maximum conceivable pain), had to be reported in the case of presence of rest pain only. If the leading question in regard to the presence of rest pain is answered with ""No"" and no visit value is specified, the visit value will be set to 0 for the analysis.",At 24 weeks after the end of study drug treatment,COREVEN,pain,pain_measure,PATIENT_REPORTED,VAS,NAMED,NOT_VERIFIED,ULCER_OR_WOUND,DIRECT_PATIENT_IMPORTANT,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/1,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_005,NCT00596752,SECONDARY,Increase/Decrease in Ulcer Area of ≥ 50 % at 24 Weeks After the End of Study Drug Treatment,"In case of two ulcers the worse ulcer status is analyzed. The categories of investigator assessment are: complete healing, decrease by ≥ 50 %, unchanged, increase by ≥ 50 %.",At 24 weeks after the end of study drug treatment,COREVEN,healing,complete_healing,MIXED,,UNKNOWN,UNCLEAR,ULCER_OR_WOUND,INTERMEDIATE_OR_SURROGATE,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/2,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_006,NCT00596752,SECONDARY,Consumption and Type of Analgesic Medication During the Course of the Study (up to 196 Days),The number of subjects who used analgesics are summarized for different time points/intervals during the course of the study.,During the course of the study (up to 196 days),COREVEN,other,unmapped_other,REQUIRES_EXPERT_DECISION,,UNKNOWN,UNCLEAR,PATIENT,UNCLEAR,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/3,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_007,NCT00596752,SECONDARY,Systolic Pressure at Ankle Level at 24 Weeks After the End of Study Drug Treatment,Systolic pressure at ankle level was measured at the Arteria tibialis posterior and the Arteria dorsalis pedis. Two individual series of measurements of arterial pressures per subject across the assessed visits were selected for the analysis. For the first analysis (worst change analysis) the series of measurements in the one artery which has the worst change from Baseline at the final measurement was used. For the second analysis (worst value analysis) the series of measurements which has the worst final post-Baseline measurement was used. The series relevant for the analyses was selected from the series for the affected leg or legs only. The selection is 1 out of up to 4 series available per subject. Series without Baseline value and series with at least 1 measurement of more than 150 mmHg were excluded from the selection process due to the suspicion of media sclerosis of the lower limb artery.,At 24 weeks after the end of study drug treatment,COREVEN,REQUIRES_EXPERT_DECISION,REQUIRES_EXPERT_DECISION,DEVICE_OR_LAB,,UNKNOWN,UNCLEAR,REQUIRES_EXPERT_DECISION,REQUIRES_EXPERT_DECISION,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/4,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_008,NCT00596752,SECONDARY,Minor Amputations at 24 Weeks After the End of Study Drug Treatment,"Assessment of amputations was collected per leg affected by a lesion with up to 2 lesions per subject. Amputations were regarded as major if they were performed at the ankle joint level or above. Amputations of toes or part of the foot leaving a stump thereon the subject can walk were regarded as minor. An affected leg is defined as a leg with at least 1 lesion on Study Day -6 to -2 and only amputations of affected legs are considered in the efficacy analysis of amputations. A subject is counted as major/minor amputated, if at least 1 affected leg was major/minor amputated.

The number of subjects with minor amputation prior to or at 24 weeks after the end of study drug treatment is presented below.",At 24 weeks after the end of study drug treatment,COREVEN,adverse_events,amputation,REQUIRES_EXPERT_DECISION,,UNKNOWN,UNCLEAR,REQUIRES_EXPERT_DECISION,SAFETY,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/5,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_009,NCT00596752,SECONDARY,Revascularization Procedures at 24 Weeks After the End of Study Drug Treatment,The number of subjects with revascularization prior to or at 24 weeks after the end of study drug treatment is presented below.,At 24 weeks after the end of study drug treatment,COREVEN,REQUIRES_EXPERT_DECISION,REQUIRES_EXPERT_DECISION,REQUIRES_EXPERT_DECISION,,UNKNOWN,UNCLEAR,PATIENT,REQUIRES_EXPERT_DECISION,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/6,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
NCT00596752__OUTCOME_010,NCT00596752,SECONDARY,All-cause Mortality During the Course of the Study (up to 196 Days),,During the course of the study (up to 196 days),COREVEN,adverse_events,mortality,REQUIRES_EXPERT_DECISION,,UNKNOWN,UNCLEAR,REQUIRES_EXPERT_DECISION,SAFETY,PROTOCOL,plannedOutcome,/protocolSection/outcomesModule/secondaryOutcomes/7,b3afcfe45ccbc739537db5cff9609e21c4ccbc13a92e8a94b21a900fd5e6019e
