NCT_ID,Source_Linked_Directional_Row_Count,Documented_Domain_Count,Documented_Domain_IDs,Distinct_Direction_Count,Direction_Set,EXCLUSION_OR_RESTRICTION_Count,EXCLUSION_OR_RESTRICTION_Present,INCLUSION_OR_ACCOMMODATION_Count,INCLUSION_OR_ACCOMMODATION_Present,BASELINE_MEASUREMENT_OR_STRATIFICATION_Count,BASELINE_MEASUREMENT_OR_STRATIFICATION_Present,CONSENT_OR_PROXY_SUPPORT_Count,CONSENT_OR_PROXY_SUPPORT_Present,INTERVENTION_OR_CARE_ADAPTATION_Count,INTERVENTION_OR_CARE_ADAPTATION_Present,CONTEXTUAL_DESCRIPTION_Count,CONTEXTUAL_DESCRIPTION_Present,MULTIPLE_FUNCTIONS_Count,MULTIPLE_FUNCTIONS_Present,INDETERMINATE_DIRECTION_Count,INDETERMINATE_DIRECTION_Present
NCT00596752,0,0,,0,,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00607646,0,0,,0,,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00613808,0,0,,0,,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00617825,0,0,,0,,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00623948,2,2,mobility_adl_function|nutrition_malnutrition,2,EXCLUSION_OR_RESTRICTION|INTERVENTION_OR_CARE_ADAPTATION,1,YES,0,NO,0,NO,0,NO,1,YES,0,NO,0,NO,0,NO
NCT00624806,1,1,cognition_decision_capacity,1,EXCLUSION_OR_RESTRICTION,1,YES,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00627094,0,0,,0,,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00627107,0,0,,0,,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00628004,0,0,,0,,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
NCT00628602,2,2,mobility_adl_function|nutrition_malnutrition,2,EXCLUSION_OR_RESTRICTION|INCLUSION_OR_ACCOMMODATION,1,YES,1,YES,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO
