Framework,Coverage_Window,Domain,Present_N,Denominator,Unknown_Count,Absent_N,Percent_Total,Percent_Evaluable
COREVEN,PRIMARY_ONLY,healing,86,304,19,199,28.289474,30.175439
COREVEN,PRIMARY_ONLY,pain,31,304,20,253,10.197368,10.915493
COREVEN,PRIMARY_ONLY,quality_of_life,5,304,21,278,1.644737,1.766784
COREVEN,PRIMARY_ONLY,resource_use,1,304,22,281,0.328947,0.35461
COREVEN,PRIMARY_ONLY,adverse_events,45,304,18,241,14.802632,15.734266
COREVEN,ANY_PLANNED,healing,129,304,36,139,42.434211,48.134328
COREVEN,ANY_PLANNED,pain,115,304,25,164,37.828947,41.218638
COREVEN,ANY_PLANNED,quality_of_life,79,304,40,185,25.986842,29.924242
COREVEN,ANY_PLANNED,resource_use,17,304,58,229,5.592105,6.910569
COREVEN,ANY_PLANNED,adverse_events,112,304,32,160,36.842105,41.176471
