Framework,Coverage_Window,Domain,Present_N,Denominator,Unknown_Count,Absent_N,Percent_Total,Percent_Evaluable
OUTPUTS,PRIMARY_ONLY,pressure_injury_occurrence,34,184,22,128,18.478261,20.987654
OUTPUTS,PRIMARY_ONLY,precursor_signs_symptoms,3,184,23,158,1.630435,1.863354
OUTPUTS,PRIMARY_ONLY,mobility,16,184,23,145,8.695652,9.937888
OUTPUTS,PRIMARY_ONLY,acceptability_comfort,6,184,23,155,3.26087,3.726708
OUTPUTS,PRIMARY_ONLY,adherence_compliance,1,184,23,160,0.543478,0.621118
OUTPUTS,PRIMARY_ONLY,adverse_events_safety,11,184,23,150,5.978261,6.832298
OUTPUTS,ANY_PLANNED,pressure_injury_occurrence,40,184,29,115,21.73913,25.806452
OUTPUTS,ANY_PLANNED,precursor_signs_symptoms,4,184,33,147,2.173913,2.649007
OUTPUTS,ANY_PLANNED,mobility,29,184,28,127,15.76087,18.589744
OUTPUTS,ANY_PLANNED,acceptability_comfort,23,184,28,133,12.5,14.74359
OUTPUTS,ANY_PLANNED,adherence_compliance,4,184,33,147,2.173913,2.649007
OUTPUTS,ANY_PLANNED,adverse_events_safety,22,184,27,135,11.956522,14.012739
