stage,item,count
retrieval,AACT exact hits,5693
retrieval,AACT broad hits,8496
retrieval,API condition hits,10765
retrieval,API term hits,72328
candidate frame,deduplicated NCT identifiers,34972
reliability sample,included,12
reliability sample,excluded,108
full-screening component,candidates,34852
full-screening before sweep,included,1194
full-screening before sweep,excluded,33658
audit,probability sample,300
audit,boundary-enriched sample,200
targeted scan,records scanned by rules,33658
targeted scan,flagged for human review,915
targeted scan,eligible records added in total after audit and scan,12
full-screening final,included,1206
full-screening final,excluded,33646
final,included,1218
final,excluded,33754
