Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Coverage_Window,Domain
COREVEN_PRIMARY_REGISTERED_healing,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,89,304,285,19,29.276316,31.22807,29.276316,35.526316,6.25,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,healing
COREVEN_PRIMARY_REGISTERED_pain,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,31,304,284,20,10.197368,10.915493,10.197368,16.776316,6.578947,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,pain
COREVEN_PRIMARY_REGISTERED_quality_of_life,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,5,304,283,21,1.644737,1.766784,1.644737,8.552632,6.907895,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,quality_of_life
COREVEN_PRIMARY_REGISTERED_resource_use,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,1,304,282,22,0.328947,0.35461,0.328947,7.565789,7.236842,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,resource_use
COREVEN_PRIMARY_REGISTERED_adverse_events,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,46,304,287,17,15.131579,16.027875,15.131579,20.723684,5.592105,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,adverse_events
COREVEN_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COMPLETE_COVERAGE,COREVEN_APPLICABLE,0,304,282,22,0.0,0.0,0.0,7.236842,7.236842,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
COREVEN_ANY_REGISTERED_healing,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,132,304,269,35,43.421053,49.070632,43.421053,54.934211,11.513158,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,healing
COREVEN_ANY_REGISTERED_pain,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,115,304,279,25,37.828947,41.218638,37.828947,46.052632,8.223684,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,pain
COREVEN_ANY_REGISTERED_quality_of_life,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,79,304,264,40,25.986842,29.924242,25.986842,39.144737,13.157895,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,quality_of_life
COREVEN_ANY_REGISTERED_resource_use,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,18,304,246,58,5.921053,7.317073,5.921053,25.0,19.078947,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,resource_use
COREVEN_ANY_REGISTERED_adverse_events,REGISTERED_OUTCOME_DOMAIN,COREVEN_APPLICABLE,112,304,272,32,36.842105,41.176471,36.842105,47.368421,10.526316,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,adverse_events
COREVEN_ANY_REGISTERED_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COMPLETE_COVERAGE,COREVEN_APPLICABLE,2,304,242,62,0.657895,0.826446,0.657895,21.052632,20.394737,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_PRIMARY_REGISTERED_pressure_injury_occurrence,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,37,184,162,22,20.108696,22.839506,20.108696,32.065217,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,pressure_injury_occurrence
OUTPUTS_PRIMARY_REGISTERED_precursor_signs_symptoms,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,3,184,162,22,1.630435,1.851852,1.630435,13.586957,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,precursor_signs_symptoms
OUTPUTS_PRIMARY_REGISTERED_mobility,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,16,184,162,22,8.695652,9.876543,8.695652,20.652174,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,mobility
OUTPUTS_PRIMARY_REGISTERED_acceptability_comfort,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,7,184,162,22,3.804348,4.320988,3.804348,15.76087,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,acceptability_comfort
OUTPUTS_PRIMARY_REGISTERED_adherence_compliance,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,1,184,162,22,0.543478,0.617284,0.543478,12.5,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,adherence_compliance
OUTPUTS_PRIMARY_REGISTERED_adverse_events_safety,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,9,184,162,22,4.891304,5.555556,4.891304,16.847826,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,adverse_events_safety
OUTPUTS_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COMPLETE_COVERAGE,OUTPUTS_APPLICABLE,0,184,162,22,0.0,0.0,0.0,11.956522,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_ANY_REGISTERED_pressure_injury_occurrence,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,43,184,155,29,23.369565,27.741935,23.369565,39.130435,15.76087,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,pressure_injury_occurrence
OUTPUTS_ANY_REGISTERED_precursor_signs_symptoms,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,5,184,152,32,2.717391,3.289474,2.717391,20.108696,17.391304,INDETERMINATE_AFTER_REVIEW,OUTPUTS,ANY_REGISTERED,precursor_signs_symptoms
