Framework,Age85_Accessibility,Any_Primary_Geriatric_Domain,Any_Registered_Complete_Coverage,Any_Registered_Domain_Count,Count,Framework_Denominator,Percent_Framework
COREVEN,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,ABSENT,2,1,304,0.328947
COREVEN,INDETERMINATE_AFTER_REVIEW,NOT_PUBLICLY_SPECIFIED,ABSENT,1,1,304,0.328947
COREVEN,INDETERMINATE_AFTER_REVIEW,PRESENT,ABSENT,4,1,304,0.328947
COREVEN,NO,INDETERMINATE_AFTER_REVIEW,ABSENT,0,16,304,5.263158
COREVEN,NO,INDETERMINATE_AFTER_REVIEW,ABSENT,1,5,304,1.644737
COREVEN,NO,INDETERMINATE_AFTER_REVIEW,ABSENT,2,1,304,0.328947
COREVEN,NO,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,0,1,304,0.328947
COREVEN,NO,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,1,2,304,0.657895
COREVEN,NO,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,2,1,304,0.328947
COREVEN,NO,NOT_PUBLICLY_SPECIFIED,ABSENT,0,5,304,1.644737
COREVEN,NO,NOT_PUBLICLY_SPECIFIED,ABSENT,1,8,304,2.631579
COREVEN,NO,NOT_PUBLICLY_SPECIFIED,ABSENT,2,3,304,0.986842
COREVEN,NO,NOT_PUBLICLY_SPECIFIED,ABSENT,3,1,304,0.328947
COREVEN,NO,PRESENT,ABSENT,0,2,304,0.657895
COREVEN,NO,PRESENT,ABSENT,1,5,304,1.644737
COREVEN,NO,PRESENT,ABSENT,2,1,304,0.328947
COREVEN,NO,PRESENT,ABSENT,3,1,304,0.328947
COREVEN,NO,PRESENT,INDETERMINATE_AFTER_REVIEW,0,1,304,0.328947
COREVEN,NO,PRESENT,INDETERMINATE_AFTER_REVIEW,2,1,304,0.328947
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,0,10,304,3.289474
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,1,27,304,8.881579
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,2,14,304,4.605263
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,3,10,304,3.289474
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,4,5,304,1.644737
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,0,1,304,0.328947
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,1,4,304,1.315789
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,2,7,304,2.302632
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,3,4,304,1.315789
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,4,1,304,0.328947
COREVEN,YES,INDETERMINATE_AFTER_REVIEW,PRESENT,5,1,304,0.328947
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,ABSENT,0,17,304,5.592105
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,ABSENT,1,23,304,7.565789
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,ABSENT,2,19,304,6.250000
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,ABSENT,3,8,304,2.631579
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,ABSENT,4,7,304,2.302632
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,INDETERMINATE_AFTER_REVIEW,0,3,304,0.986842
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,INDETERMINATE_AFTER_REVIEW,1,3,304,0.986842
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,INDETERMINATE_AFTER_REVIEW,2,5,304,1.644737
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,INDETERMINATE_AFTER_REVIEW,3,4,304,1.315789
COREVEN,YES,NOT_PUBLICLY_SPECIFIED,INDETERMINATE_AFTER_REVIEW,4,3,304,0.986842
COREVEN,YES,PRESENT,ABSENT,0,10,304,3.289474
COREVEN,YES,PRESENT,ABSENT,1,18,304,5.921053
COREVEN,YES,PRESENT,ABSENT,2,15,304,4.934211
COREVEN,YES,PRESENT,ABSENT,3,5,304,1.644737
COREVEN,YES,PRESENT,ABSENT,4,1,304,0.328947
COREVEN,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,0,3,304,0.986842
COREVEN,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,1,4,304,1.315789
COREVEN,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,2,6,304,1.973684
COREVEN,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,3,5,304,1.644737
COREVEN,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,4,3,304,0.986842
COREVEN,YES,PRESENT,PRESENT,5,1,304,0.328947
OUTPUTS,INDETERMINATE_AFTER_REVIEW,NOT_PUBLICLY_SPECIFIED,INDETERMINATE_AFTER_REVIEW,0,1,184,0.543478
OUTPUTS,INDETERMINATE_AFTER_REVIEW,PRESENT,ABSENT,0,2,184,1.086957
OUTPUTS,INDETERMINATE_AFTER_REVIEW,PRESENT,ABSENT,1,4,184,2.173913
OUTPUTS,INDETERMINATE_AFTER_REVIEW,PRESENT,ABSENT,2,1,184,0.543478
OUTPUTS,INDETERMINATE_AFTER_REVIEW,PRESENT,INDETERMINATE_AFTER_REVIEW,1,1,184,0.543478
OUTPUTS,NO,INDETERMINATE_AFTER_REVIEW,ABSENT,0,4,184,2.173913
OUTPUTS,NO,INDETERMINATE_AFTER_REVIEW,ABSENT,1,3,184,1.630435
OUTPUTS,NO,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,0,2,184,1.086957
OUTPUTS,NO,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,1,2,184,1.086957
OUTPUTS,NO,NOT_PUBLICLY_SPECIFIED,ABSENT,0,3,184,1.630435
OUTPUTS,NO,NOT_PUBLICLY_SPECIFIED,ABSENT,1,2,184,1.086957
OUTPUTS,NO,NOT_PUBLICLY_SPECIFIED,ABSENT,2,1,184,0.543478
OUTPUTS,NO,PRESENT,ABSENT,0,10,184,5.434783
OUTPUTS,NO,PRESENT,ABSENT,1,11,184,5.978261
OUTPUTS,NO,PRESENT,ABSENT,2,3,184,1.630435
OUTPUTS,NO,PRESENT,INDETERMINATE_AFTER_REVIEW,0,3,184,1.630435
OUTPUTS,NO,PRESENT,INDETERMINATE_AFTER_REVIEW,1,1,184,0.543478
OUTPUTS,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,0,14,184,7.608696
OUTPUTS,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,1,12,184,6.521739
OUTPUTS,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,2,2,184,1.086957
OUTPUTS,YES,INDETERMINATE_AFTER_REVIEW,ABSENT,3,1,184,0.543478
OUTPUTS,YES,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,0,5,184,2.717391
OUTPUTS,YES,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,1,2,184,1.086957
OUTPUTS,YES,NOT_PUBLICLY_SPECIFIED,ABSENT,0,6,184,3.260870
OUTPUTS,YES,NOT_PUBLICLY_SPECIFIED,ABSENT,1,5,184,2.717391
OUTPUTS,YES,NOT_PUBLICLY_SPECIFIED,INDETERMINATE_AFTER_REVIEW,0,2,184,1.086957
OUTPUTS,YES,PRESENT,ABSENT,0,26,184,14.130435
OUTPUTS,YES,PRESENT,ABSENT,1,29,184,15.760870
OUTPUTS,YES,PRESENT,ABSENT,2,12,184,6.521739
OUTPUTS,YES,PRESENT,ABSENT,3,1,184,0.543478
OUTPUTS,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,0,5,184,2.717391
OUTPUTS,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,1,3,184,1.630435
OUTPUTS,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,2,4,184,2.173913
OUTPUTS,YES,PRESENT,INDETERMINATE_AFTER_REVIEW,3,1,184,0.543478
