Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Final_COS_Electronic_Publication_Date,Temporal_Scenario,Coverage_Window,Domain
OUTPUTS_PRE_FINAL_COS_PRIMARY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,20,120,111,9,16.666667,18.018018,16.666667,24.166667,7.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,PRIMARY_REGISTERED,pressure_injury_occurrence
OUTPUTS_PRE_FINAL_COS_PRIMARY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,3,120,111,9,2.5,2.702703,2.5,10.0,7.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,PRIMARY_REGISTERED,precursor_signs_symptoms
OUTPUTS_PRE_FINAL_COS_PRIMARY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,8,120,111,9,6.666667,7.207207,6.666667,14.166667,7.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,PRIMARY_REGISTERED,mobility
OUTPUTS_PRE_FINAL_COS_PRIMARY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,4,120,111,9,3.333333,3.603604,3.333333,10.833333,7.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,PRIMARY_REGISTERED,acceptability_comfort
OUTPUTS_PRE_FINAL_COS_PRIMARY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,1,120,111,9,0.833333,0.900901,0.833333,8.333333,7.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,PRIMARY_REGISTERED,adherence_compliance
OUTPUTS_PRE_FINAL_COS_PRIMARY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,7,120,111,9,5.833333,6.306306,5.833333,13.333333,7.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,PRIMARY_REGISTERED,adverse_events_safety
OUTPUTS_PRE_FINAL_COS_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,0,120,111,9,0.0,0.0,0.0,7.5,7.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,17,64,51,13,26.5625,33.333333,26.5625,46.875,20.3125,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,pressure_injury_occurrence
OUTPUTS_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,64,51,13,0.0,0.0,0.0,20.3125,20.3125,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,precursor_signs_symptoms
OUTPUTS_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,8,64,51,13,12.5,15.686275,12.5,32.8125,20.3125,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,mobility
OUTPUTS_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,3,64,51,13,4.6875,5.882353,4.6875,25.0,20.3125,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,acceptability_comfort
OUTPUTS_POST_FINAL_COS_0_MONTH_PRIMARY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,64,51,13,0.0,0.0,0.0,20.3125,20.3125,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,PRIMARY_REGISTERED,adherence_compliance
