Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Coverage_Window,Registration_Timing,Domain
COREVEN_PRIMARY_REGISTERED_ALL_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,89,304,285,19,29.276316,31.22807,29.276316,35.526316,6.25,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,ALL,healing
COREVEN_PRIMARY_REGISTERED_ALL_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,31,304,284,20,10.197368,10.915493,10.197368,16.776316,6.578947,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,ALL,pain
COREVEN_PRIMARY_REGISTERED_ALL_quality_of_life,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,5,304,283,21,1.644737,1.766784,1.644737,8.552632,6.907895,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,ALL,quality_of_life
COREVEN_PRIMARY_REGISTERED_ALL_resource_use,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,1,304,282,22,0.328947,0.35461,0.328947,7.565789,7.236842,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,ALL,resource_use
COREVEN_PRIMARY_REGISTERED_ALL_adverse_events,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,46,304,287,17,15.131579,16.027875,15.131579,20.723684,5.592105,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,ALL,adverse_events
COREVEN_PRIMARY_REGISTERED_ALL_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,0,304,282,22,0.0,0.0,0.0,7.236842,7.236842,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,ALL,ALL_DOMAINS_PRESENT
COREVEN_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,65,165,160,5,39.393939,40.625,39.393939,42.424242,3.030303,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,healing
COREVEN_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,12,165,158,7,7.272727,7.594937,7.272727,11.515152,4.242424,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,pain
COREVEN_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_quality_of_life,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,1,165,157,8,0.606061,0.636943,0.606061,5.454545,4.848485,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,quality_of_life
COREVEN_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_resource_use,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,0,165,157,8,0.0,0.0,0.0,4.848485,4.848485,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,resource_use
COREVEN_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_adverse_events,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,27,165,160,5,16.363636,16.875,16.363636,19.393939,3.030303,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,adverse_events
COREVEN_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,0,165,157,8,0.0,0.0,0.0,4.848485,4.848485,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,ALL_DOMAINS_PRESENT
COREVEN_PRIMARY_REGISTERED_RETROSPECTIVE_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,24,139,125,14,17.266187,19.2,17.266187,27.338129,10.071942,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,RETROSPECTIVE,healing
COREVEN_PRIMARY_REGISTERED_RETROSPECTIVE_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,19,139,126,13,13.669065,15.079365,13.669065,23.021583,9.352518,INDETERMINATE_AFTER_REVIEW,COREVEN,PRIMARY_REGISTERED,RETROSPECTIVE,pain
