Raw_Age85_State,Publication_Display_Age85_State,Any_Primary_Geriatric_Domain,Has_Results,Interpretable_Age_Categories,Explicit_Older_Category,Count,Denominator,Percent
INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,NO,NO,NO,4,1218,0.328407
INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,NOT_PUBLICLY_SPECIFIED,NO,NO,NO,9,1218,0.738916
INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,PRESENT,NO,NO,NO,12,1218,0.985222
INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,PRESENT,YES,NO,NO,2,1218,0.164204
NO,NOT_ACCESSIBLE,INDETERMINATE_AFTER_REVIEW,NO,NO,NO,82,1218,6.732348
NO,NOT_ACCESSIBLE,INDETERMINATE_AFTER_REVIEW,YES,NO,NO,1,1218,0.082102
NO,NOT_ACCESSIBLE,INDETERMINATE_AFTER_REVIEW,YES,YES,YES,6,1218,0.492611
NO,NOT_ACCESSIBLE,NOT_PUBLICLY_SPECIFIED,NO,NO,NO,66,1218,5.418719
NO,NOT_ACCESSIBLE,NOT_PUBLICLY_SPECIFIED,YES,NO,NO,1,1218,0.082102
NO,NOT_ACCESSIBLE,NOT_PUBLICLY_SPECIFIED,YES,YES,YES,8,1218,0.656814
NO,NOT_ACCESSIBLE,PRESENT,NO,NO,NO,149,1218,12.233169
NO,NOT_ACCESSIBLE,PRESENT,YES,NO,NO,9,1218,0.738916
NO,NOT_ACCESSIBLE,PRESENT,YES,YES,NO,2,1218,0.164204
NO,NOT_ACCESSIBLE,PRESENT,YES,YES,YES,9,1218,0.738916
YES,ACCESSIBLE,INDETERMINATE_AFTER_REVIEW,NO,NO,NO,182,1218,14.942529
YES,ACCESSIBLE,INDETERMINATE_AFTER_REVIEW,YES,NO,NO,31,1218,2.545156
YES,ACCESSIBLE,INDETERMINATE_AFTER_REVIEW,YES,YES,YES,13,1218,1.067323
YES,ACCESSIBLE,NOT_PUBLICLY_SPECIFIED,NO,NO,NO,183,1218,15.024631
YES,ACCESSIBLE,NOT_PUBLICLY_SPECIFIED,YES,NO,NO,30,1218,2.463054
YES,ACCESSIBLE,NOT_PUBLICLY_SPECIFIED,YES,YES,NO,2,1218,0.164204
YES,ACCESSIBLE,NOT_PUBLICLY_SPECIFIED,YES,YES,YES,25,1218,2.052545
YES,ACCESSIBLE,PRESENT,NO,NO,NO,324,1218,26.600985
YES,ACCESSIBLE,PRESENT,YES,NO,NO,37,1218,3.037767
YES,ACCESSIBLE,PRESENT,YES,YES,NO,6,1218,0.492611
YES,ACCESSIBLE,PRESENT,YES,YES,YES,25,1218,2.052545
