Section,Characteristic,n/N (%) or summary,Unknown n,Notes
Cohort,Included registered trials,"1,218/1,218 (100.00%)",0,
Wound-purpose group,VLU active treatment,"304/1,218 (24.96%)",0,
Wound-purpose group,Pressure-injury prevention,"184/1,218 (15.11%)",0,
Wound-purpose group,Pressure-injury treatment,"517/1,218 (42.45%)",0,
Wound-purpose group,VLU recurrence prevention,"25/1,218 (2.05%)",0,
Wound-purpose group,"Mixed wound, explicit target","186/1,218 (15.27%)",0,
Wound-purpose group,"Mixed wound, other governed records","2/1,218 (0.16%)",0,
First-posted period,2008–2016,"440/1,218 (36.12%)",0,
First-posted period,2017–2018,"134/1,218 (11.00%)",0,
First-posted period,2019–2025,"644/1,218 (52.87%)",0,
Registration timing,Prospective or same-day,"698/1,218 (57.31%)",1,
Registration timing,Retrospective,"519/1,218 (42.61%)",1,
Study status,Completed,"590/1,218 (48.44%)",0,
Design,Randomized,"809/1,218 (66.42%)",2,
Intervention,Device study,"595/1,218 (48.85%)",0,
Sponsor/industry role,Industry lead,"374/1,218 (30.71%)",0,
Sponsor/industry role,Industry collaborator,"74/1,218 (6.08%)",0,
Sponsor/industry role,No recorded industry role,"770/1,218 (63.22%)",0,
Country scope,Single-country,"1,020/1,218 (83.74%)",102,
Country scope,Multicountry,"96/1,218 (7.88%)",102,
Results status,Results posted,"207/1,218 (17.00%)",0,
Planned/actual enrollment field,"Enrollment count, median (IQR; range)",46 (20–111; 0–21000),4,Registry enrollment field; planned or actual depends on record status.
Protocol attachment,Protocol attachment availability,Not reliably ascertainable from the frozen analytic extract,1218,Not inferred from absence; platform-level limitation.
