Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State
OUTPUTS_PRIMARY_REGISTERED_pressure_injury_occurrence,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,37,184,162,22,20.108696,22.839506,20.108696,32.065217,11.956522,INDETERMINATE_AFTER_REVIEW
OUTPUTS_PRIMARY_REGISTERED_precursor_signs_symptoms,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,3,184,162,22,1.630435,1.851852,1.630435,13.586957,11.956522,INDETERMINATE_AFTER_REVIEW
OUTPUTS_PRIMARY_REGISTERED_mobility,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,16,184,162,22,8.695652,9.876543,8.695652,20.652174,11.956522,INDETERMINATE_AFTER_REVIEW
OUTPUTS_PRIMARY_REGISTERED_acceptability_comfort,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,7,184,162,22,3.804348,4.320988,3.804348,15.76087,11.956522,INDETERMINATE_AFTER_REVIEW
OUTPUTS_PRIMARY_REGISTERED_adherence_compliance,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,1,184,162,22,0.543478,0.617284,0.543478,12.5,11.956522,INDETERMINATE_AFTER_REVIEW
OUTPUTS_PRIMARY_REGISTERED_adverse_events_safety,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,9,184,162,22,4.891304,5.555556,4.891304,16.847826,11.956522,INDETERMINATE_AFTER_REVIEW
OUTPUTS_PRIMARY_REGISTERED_ALL_DOMAINS,REGISTERED_OUTCOME_COMPLETE_COVERAGE,OUTPUTS_APPLICABLE,0,184,162,22,0.0,0.0,0.0,11.956522,11.956522,INDETERMINATE_AFTER_REVIEW
OUTPUTS_ANY_REGISTERED_pressure_injury_occurrence,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,43,184,155,29,23.369565,27.741935,23.369565,39.130435,15.76087,INDETERMINATE_AFTER_REVIEW
OUTPUTS_ANY_REGISTERED_precursor_signs_symptoms,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,5,184,152,32,2.717391,3.289474,2.717391,20.108696,17.391304,INDETERMINATE_AFTER_REVIEW
OUTPUTS_ANY_REGISTERED_mobility,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,32,184,157,27,17.391304,20.382166,17.391304,32.065217,14.673913,INDETERMINATE_AFTER_REVIEW
OUTPUTS_ANY_REGISTERED_acceptability_comfort,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,26,184,158,26,14.130435,16.455696,14.130435,28.26087,14.130435,INDETERMINATE_AFTER_REVIEW
OUTPUTS_ANY_REGISTERED_adherence_compliance,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,5,184,152,32,2.717391,3.289474,2.717391,20.108696,17.391304,INDETERMINATE_AFTER_REVIEW
OUTPUTS_ANY_REGISTERED_adverse_events_safety,REGISTERED_OUTCOME_DOMAIN,OUTPUTS_APPLICABLE,19,184,158,26,10.326087,12.025316,10.326087,24.456522,14.130435,INDETERMINATE_AFTER_REVIEW
OUTPUTS_ANY_REGISTERED_ALL_DOMAINS,REGISTERED_OUTCOME_COMPLETE_COVERAGE,OUTPUTS_APPLICABLE,0,184,152,32,0.0,0.0,0.0,17.391304,17.391304,INDETERMINATE_AFTER_REVIEW
