NCT_ID,Measure_Title,Category,Participant_Count,Selected_Group_ID,Unit,JSON_Pointer
NCT00596752,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00596752,"Age, Categorical",Between 18 and 65 years,323.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00596752,"Age, Categorical",>=65 years,516.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT00660049,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00660049,"Age, Categorical",Between 18 and 65 years,9.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00660049,"Age, Categorical",>=65 years,3.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT00807664,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00807664,"Age, Categorical",Between 18 and 65 years,43.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00807664,"Age, Categorical",>=65 years,139.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT00832091,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00832091,"Age, Categorical",Between 18 and 65 years,48.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00832091,"Age, Categorical",>=65 years,24.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT00839098,"Age, Categorical",<=18 years,0.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00839098,"Age, Categorical",Between 18 and 65 years,23.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00839098,"Age, Categorical",>=65 years,5.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT00847002,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00847002,"Age, Categorical",Between 18 and 65 years,6.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00847002,"Age, Categorical",>=65 years,2.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT00847665,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00847665,"Age, Categorical",Between 18 and 65 years,170.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00847665,"Age, Categorical",>=65 years,160.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT00878644,"Age, Customized",< 2 yr,149.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/0
NCT00878644,"Age, Customized",2 - <12 yr,93.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/1
NCT00878644,"Age, Customized",12 - 17 yr,53.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/2
NCT00880087,"Age, Customized",< 2 yr,201.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/0
NCT00880087,"Age, Customized",2 - <12 yr,83.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/1
NCT00880087,"Age, Customized",12 - 17 yr,45.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/2
NCT00971048,"Age, Categorical",<=18 years,0.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT00971048,"Age, Categorical",Between 18 and 65 years,49.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT00971048,"Age, Categorical",>=65 years,39.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01036438,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/0
NCT01036438,"Age, Categorical",Between 18 and 65 years,89.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/1
NCT01036438,"Age, Categorical",>=65 years,112.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/1/classes/0/categories/2
NCT01079299,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01079299,"Age, Categorical",Between 18 and 65 years,24.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01079299,"Age, Categorical",>=65 years,28.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01090076,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01090076,"Age, Categorical",Between 18 and 65 years,5.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01090076,"Age, Categorical",>=65 years,21.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01107197,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01107197,"Age, Categorical",Between 18 and 65 years,9.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01107197,"Age, Categorical",>=65 years,148.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01201759,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01201759,"Age, Categorical",Between 18 and 65 years,18.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01201759,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01208220,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01208220,"Age, Categorical",Between 18 and 65 years,2.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01208220,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01214811,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01214811,"Age, Categorical",Between 18 and 65 years,19.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01214811,"Age, Categorical",>=65 years,8.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01217047,"Age, Categorical",<=18 years,0.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01217047,"Age, Categorical",Between 18 and 65 years,10.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01217047,"Age, Categorical",>=65 years,0.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01255631,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01255631,"Age, Categorical",Between 18 and 65 years,7.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01255631,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01396837,"Age, Customized",NOT_PUBLICLY_SPECIFIED,20.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01426555,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01426555,"Age, Categorical",Between 18 and 65 years,70.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01426555,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01433159,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01433159,"Age, Categorical",Between 18 and 65 years,10.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01433159,"Age, Categorical",>=65 years,9.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01439581,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01439581,"Age, Categorical",Between 18 and 65 years,281.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01439581,"Age, Categorical",>=65 years,147.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01440452,"Age, Categorical",<=18 years,0.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01440452,"Age, Categorical",Between 18 and 65 years,25.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01440452,"Age, Categorical",>=65 years,0.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01454570,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01454570,"Age, Categorical",Between 18 and 65 years,10.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01454570,"Age, Categorical",>=65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01528293,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT01528293,"Age, Categorical",Between 18 and 65 years,1.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT01528293,"Age, Categorical",>=65 years,1.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT01539980,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
