result_id,module,analysis_population,stratum_variable,stratum_value,metric,category,numerator,denominator,unknown_count,percentage,value,unit,notes,source_table,framework
AGE0001,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_65,ELIGIBILITY_CATEGORY,YES,1098,1218,39,90.147783,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0002,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_65,ELIGIBILITY_CATEGORY,NO,81,1218,39,6.650246,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0003,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_65,ELIGIBILITY_CATEGORY,UNKNOWN,39,1218,39,3.20197,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0004,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_65,ELIGIBILITY_CATEGORY,REQUIRES_EXPERT_DECISION,0,1218,39,0.0,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0005,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_75,ELIGIBILITY_CATEGORY,YES,970,1218,39,79.638752,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0006,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_75,ELIGIBILITY_CATEGORY,NO,209,1218,39,17.159278,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0007,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_75,ELIGIBILITY_CATEGORY,UNKNOWN,39,1218,39,3.20197,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0008,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_75,ELIGIBILITY_CATEGORY,REQUIRES_EXPERT_DECISION,0,1218,39,0.0,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0009,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_80,ELIGIBILITY_CATEGORY,YES,915,1218,39,75.123153,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0010,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_80,ELIGIBILITY_CATEGORY,NO,264,1218,39,21.674877,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0011,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_80,ELIGIBILITY_CATEGORY,UNKNOWN,39,1218,39,3.20197,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0012,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_80,ELIGIBILITY_CATEGORY,REQUIRES_EXPERT_DECISION,0,1218,39,0.0,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0013,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_85,ELIGIBILITY_CATEGORY,YES,847,1218,39,69.54023,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0014,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_85,ELIGIBILITY_CATEGORY,NO,332,1218,39,27.2578,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0015,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_85,ELIGIBILITY_CATEGORY,UNKNOWN,39,1218,39,3.20197,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0016,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,STRUCTURED_85,ELIGIBILITY_CATEGORY,REQUIRES_EXPERT_DECISION,0,1218,39,0.0,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0017,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_65,ELIGIBILITY_CATEGORY,YES,1103,1218,27,90.558292,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0018,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_SCALE_THRESHOLD,RECONCILED_65,ELIGIBILITY_CATEGORY,NO,88,1218,27,7.224959,,,Percent_Total uses all included records; evaluable percentage is in T02.,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
