Audit_ID,Object,Source,Numerator,Denominator,Unknown_Count,Percentage,Status,Rule
DEN_AGE0001,AGE0001,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,1098,1218,39,90.147783,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0002,AGE0002,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,81,1218,39,6.650246,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0003,AGE0003,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,39,1218,39,3.20197,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0004,AGE0004,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,0,1218,39,0.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0005,AGE0005,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,970,1218,39,79.638752,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0006,AGE0006,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,209,1218,39,17.159278,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0007,AGE0007,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,39,1218,39,3.20197,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0008,AGE0008,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,0,1218,39,0.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0009,AGE0009,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,915,1218,39,75.123153,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0010,AGE0010,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,264,1218,39,21.674877,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0011,AGE0011,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,39,1218,39,3.20197,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0012,AGE0012,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,0,1218,39,0.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_AGE0013,AGE0013,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,847,1218,39,69.54023,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
