Sensitivity_ID,Module,Population,Scenario,Metric,Numerator,Denominator,Unknown_Count,Percent,Status,Notes
AGE_UNKNOWN_NO_STRUCTURED_65,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_65_STRUCTURED,1098,1218,39,90.147783,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_STRUCTURED_65,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_65_STRUCTURED,1137,1218,39,93.349754,RUN,Unknown and expert-decision states assigned YES for the bound.
AGE_UNKNOWN_NO_STRUCTURED_75,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_75_STRUCTURED,970,1218,39,79.638752,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_STRUCTURED_75,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_75_STRUCTURED,1009,1218,39,82.840722,RUN,Unknown and expert-decision states assigned YES for the bound.
AGE_UNKNOWN_NO_STRUCTURED_80,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_80_STRUCTURED,915,1218,39,75.123153,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_STRUCTURED_80,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_80_STRUCTURED,954,1218,39,78.325123,RUN,Unknown and expert-decision states assigned YES for the bound.
AGE_UNKNOWN_NO_STRUCTURED_85,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_85_STRUCTURED,847,1218,39,69.54023,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_STRUCTURED_85,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_85_STRUCTURED,886,1218,39,72.7422,RUN,Unknown and expert-decision states assigned YES for the bound.
AGE_UNKNOWN_NO_RECONCILED_65,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_65_RECONCILED,1103,1218,27,90.558292,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_RECONCILED_65,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_65_RECONCILED,1130,1218,27,92.775041,RUN,Unknown and expert-decision states assigned YES for the bound.
AGE_UNKNOWN_NO_RECONCILED_75,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_75_RECONCILED,978,1218,27,80.295567,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_RECONCILED_75,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_75_RECONCILED,1005,1218,27,82.512315,RUN,Unknown and expert-decision states assigned YES for the bound.
AGE_UNKNOWN_NO_RECONCILED_80,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_80_RECONCILED,925,1218,27,75.944171,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_RECONCILED_80,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_80_RECONCILED,952,1218,27,78.16092,RUN,Unknown and expert-decision states assigned YES for the bound.
AGE_UNKNOWN_NO_RECONCILED_85,AGE,ALL_INCLUDED,UNKNOWN_ALL_NO,ELIGIBLE_85_RECONCILED,858,1218,27,70.44335,RUN,Unknown and expert-decision states assigned NO for the bound.
AGE_UNKNOWN_YES_RECONCILED_85,AGE,ALL_INCLUDED,UNKNOWN_ALL_YES,ELIGIBLE_85_RECONCILED,885,1218,27,72.660099,RUN,Unknown and expert-decision states assigned YES for the bound.
SENS_PRIMARY_ALL_INCLUDED_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,PRIMARY_ALL_INCLUDED,PRIMARY_ALL_INCLUDED,ELIGIBLE_85_RECONCILED_YES,858,1218,27,70.44335,RUN,
SENS_PRIMARY_ALL_INCLUDED_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,PRIMARY_ALL_INCLUDED,PRIMARY_ALL_INCLUDED,FINITE_UPPER_LIMIT,456,1218,38,37.438424,RUN,
SENS_PRIMARY_ALL_INCLUDED_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,PRIMARY_ALL_INCLUDED,PRIMARY_ALL_INCLUDED,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,575,1218,319,47.208539,RUN,
SENS_PROSPECTIVE_REGISTRATION_ONLY_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,PROSPECTIVE_REGISTRATION_ONLY,PROSPECTIVE_REGISTRATION_ONLY,ELIGIBLE_85_RECONCILED_YES,501,698,9,71.776504,RUN,
SENS_PROSPECTIVE_REGISTRATION_ONLY_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,PROSPECTIVE_REGISTRATION_ONLY,PROSPECTIVE_REGISTRATION_ONLY,FINITE_UPPER_LIMIT,256,698,18,36.676218,RUN,
SENS_PROSPECTIVE_REGISTRATION_ONLY_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,PROSPECTIVE_REGISTRATION_ONLY,PROSPECTIVE_REGISTRATION_ONLY,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,331,698,188,47.421203,RUN,
SENS_EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT,EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT,ELIGIBLE_85_RECONCILED_YES,827,1171,27,70.623399,RUN,
