Domain_ID,Category,Count,Denominator,Unknown_Count,Percent
frailty_direct,NOT_PUBLICLY_SPECIFIED,1175,1218,32,96.469622
frailty_direct,PRESENT,11,1218,32,0.90312
frailty_direct,REQUIRES_EXPERT_DECISION,32,1218,32,2.627258
mobility_adl_function,NOT_PUBLICLY_SPECIFIED,763,1218,164,62.643678
mobility_adl_function,PRESENT,291,1218,164,23.891626
mobility_adl_function,REQUIRES_EXPERT_DECISION,164,1218,164,13.464696
cognition_decision_capacity,NOT_PUBLICLY_SPECIFIED,925,1218,136,75.944171
cognition_decision_capacity,PRESENT,157,1218,136,12.889984
cognition_decision_capacity,REQUIRES_EXPERT_DECISION,136,1218,136,11.165846
proxy_consent_pathway,NOT_PUBLICLY_SPECIFIED,1049,1218,140,86.124795
proxy_consent_pathway,PRESENT,29,1218,140,2.380952
proxy_consent_pathway,REQUIRES_EXPERT_DECISION,140,1218,140,11.494253
nutrition_malnutrition,NOT_PUBLICLY_SPECIFIED,897,1218,216,73.64532
nutrition_malnutrition,PRESENT,105,1218,216,8.62069
nutrition_malnutrition,REQUIRES_EXPERT_DECISION,216,1218,216,17.73399
multimorbidity_burden,NOT_PUBLICLY_SPECIFIED,1147,1218,64,94.170772
multimorbidity_burden,PRESENT,7,1218,64,0.574713
multimorbidity_burden,REQUIRES_EXPERT_DECISION,64,1218,64,5.254516
life_expectancy_advanced_illness,NOT_PUBLICLY_SPECIFIED,1061,1218,22,87.110016
life_expectancy_advanced_illness,PRESENT,135,1218,22,11.083744
life_expectancy_advanced_illness,REQUIRES_EXPERT_DECISION,22,1218,22,1.80624
care_setting_caregiver,NOT_PUBLICLY_SPECIFIED,1009,1218,157,82.840722
care_setting_caregiver,PRESENT,52,1218,157,4.269294
care_setting_caregiver,REQUIRES_EXPERT_DECISION,157,1218,157,12.889984
polypharmacy_medication_burden,NOT_PUBLICLY_SPECIFIED,1200,1218,17,98.522167
polypharmacy_medication_burden,PRESENT,1,1218,17,0.082102
polypharmacy_medication_burden,REQUIRES_EXPERT_DECISION,17,1218,17,1.395731
