Framework,Coverage_Window,Domain,Present_N,Denominator,Unknown_Count,Absent_N,Percent_Total,Percent_Evaluable
OUTPUTS,PRIMARY_ONLY,pressure_injury_occurrence,37,184,22,125,20.108696,22.839506
OUTPUTS,PRIMARY_ONLY,precursor_signs_symptoms,3,184,22,159,1.630435,1.851852
OUTPUTS,PRIMARY_ONLY,mobility,16,184,22,146,8.695652,9.876543
OUTPUTS,PRIMARY_ONLY,acceptability_comfort,7,184,22,155,3.804348,4.320988
OUTPUTS,PRIMARY_ONLY,adherence_compliance,1,184,22,161,0.543478,0.617284
OUTPUTS,PRIMARY_ONLY,adverse_events_safety,9,184,22,153,4.891304,5.555556
OUTPUTS,ANY_PLANNED,pressure_injury_occurrence,43,184,29,112,23.369565,27.741935
OUTPUTS,ANY_PLANNED,precursor_signs_symptoms,5,184,32,147,2.717391,3.289474
OUTPUTS,ANY_PLANNED,mobility,32,184,27,125,17.391304,20.382166
OUTPUTS,ANY_PLANNED,acceptability_comfort,26,184,26,132,14.130435,16.455696
OUTPUTS,ANY_PLANNED,adherence_compliance,5,184,32,147,2.717391,3.289474
OUTPUTS,ANY_PLANNED,adverse_events_safety,19,184,26,139,10.326087,12.025316
