Register_ID,Artifact_Type,Source_File,Source_Row_Number,Row_Key,Field,Value,Numerator_Context,Denominator_Context,Percent_Context,Source_SHA256,Interpretation_Boundary
NRR000001,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,2,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_STRUCTURED,Numerator,1097,1097,1218,90.065681,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000002,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,2,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_STRUCTURED,Denominator,1218,1097,1218,90.065681,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000003,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,2,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_STRUCTURED,Unknown_Count,42,1097,1218,90.065681,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000004,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,2,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_STRUCTURED,Percent,90.065681,1097,1218,90.065681,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000005,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,3,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_STRUCTURED,Numerator,1139,1139,1218,93.513957,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000006,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,3,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_STRUCTURED,Denominator,1218,1139,1218,93.513957,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000007,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,3,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_STRUCTURED,Unknown_Count,42,1139,1218,93.513957,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000008,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,3,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_STRUCTURED,Percent,93.513957,1139,1218,93.513957,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000009,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,4,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_75_STRUCTURED,Numerator,969,969,1218,79.55665,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000010,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,4,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_75|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_75_STRUCTURED,Denominator,1218,969,1218,79.55665,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
