Artifact,Row_Key,Field,Historical_1206_Value,Corrected_1218_Value,Change_Status,Historical_Source_SHA256,Corrected_Source_SHA256,Interpretation_Boundary
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Sensitivity_ID,AGE_UNKNOWN_NO_RECONCILED_65,AGE_UNKNOWN_NO_RECONCILED_65,UNCHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Module,AGE,AGE,UNCHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Population,ALL_INCLUDED,ALL_INCLUDED,UNCHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Scenario,UNKNOWN_ALL_NO,UNKNOWN_ALL_NO,UNCHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Metric,ELIGIBLE_65_RECONCILED,ELIGIBLE_65_RECONCILED,UNCHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Numerator,1072,1083,CHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Denominator,1206,1218,CHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Unknown_Count,38,38,UNCHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Percent,88.888889,88.916256,CHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
STEP13B_SENSITIVITY_RESULTS.csv,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Status,RUN,RUN,UNCHANGED,8dbefbd5be67ca15481c533a6ea80bfa5465ce5b476096a21f8c6a8f64b08667,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
