Age_Scale,Threshold_Years,Category,Count,Total_Denominator,Evaluable_Denominator,Unknown_Count,Percent_Total,Percent_Evaluable
STRUCTURED,65,YES,1097,1218,1176,42,90.065681,93.282313
STRUCTURED,65,NO,79,1218,1176,42,6.486043,6.717687
STRUCTURED,65,UNKNOWN,42,1218,1176,42,3.448276,
STRUCTURED,65,REQUIRES_EXPERT_DECISION,0,1218,1176,42,0.0,
STRUCTURED,75,YES,969,1218,1176,42,79.55665,82.397959
STRUCTURED,75,NO,207,1218,1176,42,16.995074,17.602041
STRUCTURED,75,UNKNOWN,42,1218,1176,42,3.448276,
STRUCTURED,75,REQUIRES_EXPERT_DECISION,0,1218,1176,42,0.0,
STRUCTURED,80,YES,914,1218,1176,42,75.041051,77.721088
STRUCTURED,80,NO,262,1218,1176,42,21.510673,22.278912
STRUCTURED,80,UNKNOWN,42,1218,1176,42,3.448276,
STRUCTURED,80,REQUIRES_EXPERT_DECISION,0,1218,1176,42,0.0,
STRUCTURED,85,YES,846,1218,1176,42,69.458128,71.938776
STRUCTURED,85,NO,330,1218,1176,42,27.093596,28.061224
STRUCTURED,85,UNKNOWN,42,1218,1176,42,3.448276,
STRUCTURED,85,REQUIRES_EXPERT_DECISION,0,1218,1176,42,0.0,
RECONCILED,65,YES,1083,1218,1180,38,88.916256,91.779661
RECONCILED,65,NO,97,1218,1180,38,7.963875,8.220339
RECONCILED,65,UNKNOWN,36,1218,1180,38,2.955665,
RECONCILED,65,REQUIRES_EXPERT_DECISION,2,1218,1180,38,0.164204,
RECONCILED,75,YES,956,1218,1180,38,78.489327,81.016949
RECONCILED,75,NO,224,1218,1180,38,18.390805,18.983051
RECONCILED,75,UNKNOWN,36,1218,1180,38,2.955665,
RECONCILED,75,REQUIRES_EXPERT_DECISION,2,1218,1180,38,0.164204,
RECONCILED,80,YES,900,1218,1180,38,73.891626,76.271186
RECONCILED,80,NO,280,1218,1180,38,22.988506,23.728814
RECONCILED,80,UNKNOWN,36,1218,1180,38,2.955665,
RECONCILED,80,REQUIRES_EXPERT_DECISION,2,1218,1180,38,0.164204,
RECONCILED,85,YES,834,1218,1180,38,68.472906,70.677966
RECONCILED,85,NO,346,1218,1180,38,28.407225,29.322034
RECONCILED,85,UNKNOWN,36,1218,1180,38,2.955665,
RECONCILED,85,REQUIRES_EXPERT_DECISION,2,1218,1180,38,0.164204,
STRUCTURED_UPPER_AGE_STATUS,,FINITE_UPPER_LIMIT,456,1218,1179,39,37.438424,38.676845
STRUCTURED_UPPER_AGE_STATUS,,NO_EXPLICIT_STRUCTURED_UPPER_LIMIT,723,1218,1179,39,59.359606,61.323155
STRUCTURED_UPPER_AGE_STATUS,,UNKNOWN,39,1218,1179,39,3.20197,
AGE_FIELD_CONFLICT,,FALSE,1169,1218,1215,3,95.977011,96.213992
AGE_FIELD_CONFLICT,,REQUIRES_EXPERT_DECISION,3,1218,1215,3,0.246305,
AGE_FIELD_CONFLICT,,TRUE,46,1218,1215,3,3.776683,3.786008
