Framework,Coverage_Window,Domain,Present_N,Denominator,Unknown_Count,Absent_N,Percent_Total,Percent_Evaluable
COREVEN,PRIMARY_ONLY,healing,89,304,19,196,29.276316,31.228070
COREVEN,PRIMARY_ONLY,pain,31,304,20,253,10.197368,10.915493
COREVEN,PRIMARY_ONLY,quality_of_life,5,304,21,278,1.644737,1.766784
COREVEN,PRIMARY_ONLY,resource_use,1,304,22,281,0.328947,0.354610
COREVEN,PRIMARY_ONLY,adverse_events,46,304,17,241,15.131579,16.027875
COREVEN,ANY_PLANNED,healing,132,304,35,137,43.421053,49.070632
COREVEN,ANY_PLANNED,pain,115,304,25,164,37.828947,41.218638
COREVEN,ANY_PLANNED,quality_of_life,79,304,40,185,25.986842,29.924242
COREVEN,ANY_PLANNED,resource_use,18,304,58,228,5.921053,7.317073
COREVEN,ANY_PLANNED,adverse_events,112,304,32,160,36.842105,41.176471
