Framework,Coverage_Window,Metric,Category,Count,Denominator,Unknown_Count,Percent
COREVEN,PRIMARY_ONLY,DOMAIN_COUNT,0,151,304,22,49.671053
COREVEN,PRIMARY_ONLY,DOMAIN_COUNT,1,139,304,22,45.723684
COREVEN,PRIMARY_ONLY,DOMAIN_COUNT,2,13,304,22,4.276316
COREVEN,PRIMARY_ONLY,DOMAIN_COUNT,3,1,304,22,0.328947
COREVEN,PRIMARY_ONLY,DOMAIN_COUNT,4,0,304,22,0.0
COREVEN,PRIMARY_ONLY,DOMAIN_COUNT,5,0,304,22,0.0
COREVEN,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,YES,0,304,22,0.0
COREVEN,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,NO,282,304,22,92.763158
COREVEN,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,UNKNOWN,22,304,22,7.236842
COREVEN,ANY_PLANNED,DOMAIN_COUNT,0,70,304,61,23.026316
COREVEN,ANY_PLANNED,DOMAIN_COUNT,1,102,304,61,33.552632
COREVEN,ANY_PLANNED,DOMAIN_COUNT,2,71,304,61,23.355263
COREVEN,ANY_PLANNED,DOMAIN_COUNT,3,38,304,61,12.5
COREVEN,ANY_PLANNED,DOMAIN_COUNT,4,21,304,61,6.907895
COREVEN,ANY_PLANNED,DOMAIN_COUNT,5,2,304,61,0.657895
COREVEN,ANY_PLANNED,ALL_DOMAINS_PRESENT,YES,2,304,61,0.657895
COREVEN,ANY_PLANNED,ALL_DOMAINS_PRESENT,NO,241,304,61,79.276316
COREVEN,ANY_PLANNED,ALL_DOMAINS_PRESENT,UNKNOWN,61,304,61,20.065789
OUTPUTS,PRIMARY_ONLY,DOMAIN_COUNT,0,117,184,23,63.586957
OUTPUTS,PRIMARY_ONLY,DOMAIN_COUNT,1,63,184,23,34.23913
OUTPUTS,PRIMARY_ONLY,DOMAIN_COUNT,2,4,184,23,2.173913
OUTPUTS,PRIMARY_ONLY,DOMAIN_COUNT,3,0,184,23,0.0
OUTPUTS,PRIMARY_ONLY,DOMAIN_COUNT,4,0,184,23,0.0
OUTPUTS,PRIMARY_ONLY,DOMAIN_COUNT,5,0,184,23,0.0
OUTPUTS,PRIMARY_ONLY,DOMAIN_COUNT,6,0,184,23,0.0
OUTPUTS,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,YES,0,184,23,0.0
OUTPUTS,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,NO,161,184,23,87.5
OUTPUTS,PRIMARY_ONLY,ALL_DOMAINS_PRESENT,UNKNOWN,23,184,23,12.5
OUTPUTS,ANY_PLANNED,DOMAIN_COUNT,0,89,184,33,48.369565
OUTPUTS,ANY_PLANNED,DOMAIN_COUNT,1,71,184,33,38.586957
OUTPUTS,ANY_PLANNED,DOMAIN_COUNT,2,21,184,33,11.413043
OUTPUTS,ANY_PLANNED,DOMAIN_COUNT,3,3,184,33,1.630435
OUTPUTS,ANY_PLANNED,DOMAIN_COUNT,4,0,184,33,0.0
OUTPUTS,ANY_PLANNED,DOMAIN_COUNT,5,0,184,33,0.0
OUTPUTS,ANY_PLANNED,DOMAIN_COUNT,6,0,184,33,0.0
OUTPUTS,ANY_PLANNED,ALL_DOMAINS_PRESENT,YES,0,184,33,0.0
OUTPUTS,ANY_PLANNED,ALL_DOMAINS_PRESENT,NO,151,184,33,82.065217
OUTPUTS,ANY_PLANNED,ALL_DOMAINS_PRESENT,UNKNOWN,33,184,33,17.934783
