Framework,Coverage_Window,Dimension,Category,Outcome_Row_Count,Outcome_Row_Denominator,Unknown_Count,Percent
COREVEN,PRIMARY_ONLY,REPORTER,CLINICIAN_REPORTED,27,551,313,4.900181
COREVEN,PRIMARY_ONLY,REPORTER,DEVICE_OR_LAB,120,551,313,21.778584
COREVEN,PRIMARY_ONLY,REPORTER,MIXED,17,551,313,3.085299
COREVEN,PRIMARY_ONLY,REPORTER,PATIENT_REPORTED,74,551,313,13.430127
COREVEN,PRIMARY_ONLY,REPORTER,REQUIRES_EXPERT_DECISION,310,551,313,56.261343
COREVEN,PRIMARY_ONLY,REPORTER,UNKNOWN,3,551,313,0.544465
COREVEN,PRIMARY_ONLY,INSTRUMENT_STATUS,NAMED,19,551,409,3.448276
COREVEN,PRIMARY_ONLY,INSTRUMENT_STATUS,UNKNOWN,409,551,409,74.228675
COREVEN,PRIMARY_ONLY,INSTRUMENT_STATUS,UNNAMED,123,551,409,22.323049
COREVEN,PRIMARY_ONLY,UNIT_OF_ANALYSIS,BODY_SITE,1,551,245,0.181488
COREVEN,PRIMARY_ONLY,UNIT_OF_ANALYSIS,EVENT,34,551,245,6.170599
COREVEN,PRIMARY_ONLY,UNIT_OF_ANALYSIS,LIMB,8,551,245,1.451906
COREVEN,PRIMARY_ONLY,UNIT_OF_ANALYSIS,PATIENT,100,551,245,18.14882
COREVEN,PRIMARY_ONLY,UNIT_OF_ANALYSIS,REQUIRES_EXPERT_DECISION,239,551,245,43.375681
COREVEN,PRIMARY_ONLY,UNIT_OF_ANALYSIS,ULCER_OR_WOUND,163,551,245,29.582577
COREVEN,PRIMARY_ONLY,UNIT_OF_ANALYSIS,UNKNOWN,6,551,245,1.088929
COREVEN,PRIMARY_ONLY,OUTCOME_NATURE,DIRECT_PATIENT_IMPORTANT,70,551,34,12.704174
COREVEN,PRIMARY_ONLY,OUTCOME_NATURE,INTERMEDIATE_OR_SURROGATE,100,551,34,18.14882
COREVEN,PRIMARY_ONLY,OUTCOME_NATURE,REQUIRES_EXPERT_DECISION,34,551,34,6.170599
COREVEN,PRIMARY_ONLY,OUTCOME_NATURE,RESOURCE_USE,1,551,34,0.181488
COREVEN,PRIMARY_ONLY,OUTCOME_NATURE,SAFETY,69,551,34,12.522686
COREVEN,PRIMARY_ONLY,OUTCOME_NATURE,UNCLEAR,277,551,34,50.272232
COREVEN,PRIMARY_ONLY,TIME_FRAME_SPECIFIED,NOT_PUBLICLY_SPECIFIED,1,551,1,0.181488
COREVEN,PRIMARY_ONLY,TIME_FRAME_SPECIFIED,YES,550,551,1,99.818512
COREVEN,PRIMARY_ONLY,NAMED_INSTRUMENT,UNKNOWN,409,551,409,74.228675
COREVEN,PRIMARY_ONLY,NAMED_INSTRUMENT,UNNAMED,123,551,409,22.323049
COREVEN,PRIMARY_ONLY,NAMED_INSTRUMENT,YES,19,551,409,3.448276
COREVEN,ANY_PLANNED,REPORTER,CLINICIAN_REPORTED,56,1720,980,3.255814
COREVEN,ANY_PLANNED,REPORTER,DEVICE_OR_LAB,306,1720,980,17.790698
COREVEN,ANY_PLANNED,REPORTER,MIXED,38,1720,980,2.209302
COREVEN,ANY_PLANNED,REPORTER,PATIENT_REPORTED,340,1720,980,19.767442
COREVEN,ANY_PLANNED,REPORTER,REQUIRES_EXPERT_DECISION,966,1720,980,56.162791
COREVEN,ANY_PLANNED,REPORTER,UNKNOWN,14,1720,980,0.813953
COREVEN,ANY_PLANNED,INSTRUMENT_STATUS,NAMED,111,1720,1232,6.453488
COREVEN,ANY_PLANNED,INSTRUMENT_STATUS,UNKNOWN,1232,1720,1232,71.627907
