Population,Dimension,Category,Count,Denominator,Unknown_Count,Percent,Small_Denominator_Flag
ALL_INCLUDED,Study_Type,INTERVENTIONAL,1218,1218,0,100.0,NO
ALL_INCLUDED,Randomized,NO,407,1218,2,33.415435,NO
ALL_INCLUDED,Randomized,UNKNOWN,2,1218,2,0.164204,NO
ALL_INCLUDED,Randomized,YES,809,1218,2,66.420361,NO
ALL_INCLUDED,Industry_Role,INDUSTRY_COLLABORATOR,74,1218,0,6.075534,NO
ALL_INCLUDED,Industry_Role,INDUSTRY_LEAD,374,1218,0,30.706076,NO
ALL_INCLUDED,Industry_Role,NO_RECORDED_INDUSTRY_ROLE,770,1218,0,63.218391,NO
ALL_INCLUDED,Device_Study,NO,623,1218,0,51.149425,NO
ALL_INCLUDED,Device_Study,YES,595,1218,0,48.850575,NO
ALL_INCLUDED,Country_Scope,MULTICOUNTRY,96,1218,102,7.881773,NO
ALL_INCLUDED,Country_Scope,SINGLE_COUNTRY,1020,1218,102,83.743842,NO
ALL_INCLUDED,Country_Scope,UNKNOWN,102,1218,102,8.374384,NO
ALL_INCLUDED,US_Center,NO,630,1218,102,51.724138,NO
ALL_INCLUDED,US_Center,UNKNOWN,102,1218,102,8.374384,NO
ALL_INCLUDED,US_Center,YES,486,1218,102,39.901478,NO
ALL_INCLUDED,Registration_Timing,PROSPECTIVE_OR_SAME_DAY,698,1218,1,57.307061,NO
ALL_INCLUDED,Registration_Timing,RETROSPECTIVE,519,1218,1,42.610837,NO
ALL_INCLUDED,Registration_Timing,UNKNOWN,1,1218,1,0.082102,NO
ALL_INCLUDED,Overall_Status,ACTIVE_NOT_RECRUITING,29,1218,199,2.380952,NO
ALL_INCLUDED,Overall_Status,COMPLETED,590,1218,199,48.440066,NO
ALL_INCLUDED,Overall_Status,ENROLLING_BY_INVITATION,7,1218,199,0.574713,NO
ALL_INCLUDED,Overall_Status,NOT_YET_RECRUITING,47,1218,199,3.858785,NO
ALL_INCLUDED,Overall_Status,RECRUITING,165,1218,199,13.546798,NO
ALL_INCLUDED,Overall_Status,SUSPENDED,5,1218,199,0.410509,NO
ALL_INCLUDED,Overall_Status,TERMINATED,129,1218,199,10.591133,NO
ALL_INCLUDED,Overall_Status,UNKNOWN,199,1218,199,16.338259,NO
ALL_INCLUDED,Overall_Status,WITHDRAWN,47,1218,199,3.858785,NO
ALL_INCLUDED,Period,2008-2016,440,1218,0,36.124795,NO
ALL_INCLUDED,Period,2017-2018,134,1218,0,11.001642,NO
ALL_INCLUDED,Period,2019-2025,644,1218,0,52.873563,NO
ALL_INCLUDED,Adult_Relevant_Registry,YES,1218,1218,0,100.0,NO
ADULT_RELEVANT_REGISTRY,Study_Type,INTERVENTIONAL,1218,1218,0,100.0,NO
ADULT_RELEVANT_REGISTRY,Randomized,NO,407,1218,2,33.415435,NO
ADULT_RELEVANT_REGISTRY,Randomized,UNKNOWN,2,1218,2,0.164204,NO
ADULT_RELEVANT_REGISTRY,Randomized,YES,809,1218,2,66.420361,NO
ADULT_RELEVANT_REGISTRY,Industry_Role,INDUSTRY_COLLABORATOR,74,1218,0,6.075534,NO
