Stratum,Metric,Numerator,Denominator,Unknown_Count,Percent_Total,Small_Denominator_Flag
PERIOD:2000-2007_HISTORICAL_APPENDIX,FINITE_UPPER_AGE_LIMIT,0,0,0,,YES
PERIOD:2000-2007_HISTORICAL_APPENDIX,ELIGIBLE_85_RECONCILED,0,0,0,,YES
PERIOD:2000-2007_HISTORICAL_APPENDIX,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,0,0,0,,YES
PERIOD:2000-2007_HISTORICAL_APPENDIX,RANDOMIZED,0,0,0,,YES
PERIOD:2000-2007_HISTORICAL_APPENDIX,COMPLETED,0,0,0,,YES
PERIOD:2008-2016,FINITE_UPPER_AGE_LIMIT,149,440,13,33.863636,NO
PERIOD:2008-2016,ELIGIBLE_85_RECONCILED,329,440,10,74.772727,NO
PERIOD:2008-2016,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,179,440,121,40.681818,NO
PERIOD:2008-2016,RANDOMIZED,310,440,2,70.454545,NO
PERIOD:2008-2016,COMPLETED,269,440,0,61.136364,NO
PERIOD:2017-2018,FINITE_UPPER_AGE_LIMIT,51,134,2,38.059701,NO
PERIOD:2017-2018,ELIGIBLE_85_RECONCILED,100,134,1,74.626866,NO
PERIOD:2017-2018,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,62,134,28,46.268657,NO
PERIOD:2017-2018,RANDOMIZED,86,134,0,64.179104,NO
PERIOD:2017-2018,COMPLETED,75,134,0,55.970149,NO
PERIOD:2019-2025,FINITE_UPPER_AGE_LIMIT,256,644,23,39.751553,NO
PERIOD:2019-2025,ELIGIBLE_85_RECONCILED,429,644,16,66.614907,NO
PERIOD:2019-2025,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,334,644,170,51.863354,NO
PERIOD:2019-2025,RANDOMIZED,413,644,0,64.130435,NO
PERIOD:2019-2025,COMPLETED,246,644,0,38.198758,NO
PERIOD:UNKNOWN,FINITE_UPPER_AGE_LIMIT,0,0,0,,YES
PERIOD:UNKNOWN,ELIGIBLE_85_RECONCILED,0,0,0,,YES
PERIOD:UNKNOWN,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,0,0,0,,YES
PERIOD:UNKNOWN,RANDOMIZED,0,0,0,,YES
PERIOD:UNKNOWN,COMPLETED,0,0,0,,YES
DISEASE:VLU_ACTIVE_TREATMENT,FINITE_UPPER_AGE_LIMIT,84,304,7,27.631579,NO
DISEASE:VLU_ACTIVE_TREATMENT,ELIGIBLE_85_RECONCILED,247,304,3,81.25,NO
DISEASE:VLU_ACTIVE_TREATMENT,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,83,304,111,27.302632,NO
DISEASE:VLU_ACTIVE_TREATMENT,RANDOMIZED,229,304,1,75.328947,NO
DISEASE:VLU_ACTIVE_TREATMENT,COMPLETED,145,304,0,47.697368,NO
DISEASE:PI_PREVENTION,FINITE_UPPER_AGE_LIMIT,58,184,10,31.521739,NO
DISEASE:PI_PREVENTION,ELIGIBLE_85_RECONCILED,130,184,9,70.652174,NO
DISEASE:PI_PREVENTION,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,117,184,47,63.586957,NO
DISEASE:PI_PREVENTION,RANDOMIZED,120,184,0,65.217391,NO
DISEASE:PI_PREVENTION,COMPLETED,106,184,0,57.608696,NO
DISEASE:PI_TREATMENT,FINITE_UPPER_AGE_LIMIT,265,517,15,51.257253,NO
DISEASE:PI_TREATMENT,ELIGIBLE_85_RECONCILED,296,517,9,57.253385,NO
DISEASE:PI_TREATMENT,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,299,517,103,57.833656,NO
DISEASE:PI_TREATMENT,RANDOMIZED,333,517,1,64.410058,NO
DISEASE:PI_TREATMENT,COMPLETED,250,517,0,48.355899,NO
DISEASE:VLU_RECURRENCE_PREVENTION,FINITE_UPPER_AGE_LIMIT,3,25,2,12.0,NO
DISEASE:VLU_RECURRENCE_PREVENTION,ELIGIBLE_85_RECONCILED,22,25,2,88.0,NO
DISEASE:VLU_RECURRENCE_PREVENTION,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,9,25,8,36.0,NO
DISEASE:VLU_RECURRENCE_PREVENTION,RANDOMIZED,18,25,0,72.0,NO
DISEASE:VLU_RECURRENCE_PREVENTION,COMPLETED,10,25,0,40.0,NO
DISEASE:MIXED_WOUND_EXPLICIT_TARGET,FINITE_UPPER_AGE_LIMIT,46,186,4,24.731183,NO
DISEASE:MIXED_WOUND_EXPLICIT_TARGET,ELIGIBLE_85_RECONCILED,161,186,4,86.55914,NO
DISEASE:MIXED_WOUND_EXPLICIT_TARGET,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,66,186,50,35.483871,NO
DISEASE:MIXED_WOUND_EXPLICIT_TARGET,RANDOMIZED,108,186,0,58.064516,NO
DISEASE:MIXED_WOUND_EXPLICIT_TARGET,COMPLETED,78,186,0,41.935484,NO
