Module,Field_or_Domain,Paired_N,Agreements,Raw_Agreement,Positive_Agreement,Negative_Agreement,Cohen_Kappa,Gwet_AC1,Gwet_AC2,Positive_Definition,Weighting
AGE,Age_Field_Conflict,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,TRUE,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Structured_Upper_Age_Status,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,FINITE_UPPER_LIMIT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_65_Structured,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_75_Structured,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_80_Structured,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_85_Structured,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_65_Reconciled,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_75_Reconciled,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_80_Reconciled,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
AGE,Eligible_85_Reconciled,1206,1206,1.0,1.0,1.0,1.0,1.0,1.0,YES,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,frailty_direct,1206,1174,0.9734660033167496,1.0,1.0,0.40195258019525776,0.9728689064535474,0.9728689064535474,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,mobility_adl_function,1206,1042,0.8640132669983416,1.0,1.0,0.7102448028831362,0.8233858545449674,0.8233858545449674,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,cognition_decision_capacity,1206,1070,0.8872305140961857,1.0,1.0,0.6525452812202096,0.8658942712187304,0.8658942712187304,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,proxy_consent_pathway,1206,1066,0.8839137645107794,1.0,1.0,0.2755078396539734,0.874263951868205,0.874263951868205,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,nutrition_malnutrition,1206,990,0.8208955223880597,1.0,1.0,0.4446022182139156,0.7884875368122595,0.7884875368122595,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,multimorbidity_burden,1206,1142,0.9469320066334992,1.0,1.0,0.17469686277025703,0.9452090191020225,0.9452090191020225,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,life_expectancy_advanced_illness,1206,1184,0.9817578772802653,1.0,1.0,0.9146551724137929,0.9795768972309653,0.9795768972309653,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,care_setting_caregiver,1206,1049,0.8698175787728026,1.0,1.0,0.37136197932229736,0.855464260053187,0.855464260053187,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,polypharmacy_medication_burden,1206,1189,0.9859038142620232,1.0,1.0,0.10452063769382554,0.9857926979165638,0.9857926979165638,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
GERIATRIC,ALL_NINE_DOMAINS_POOLED,10854,9906,0.9126589275843007,1.0,1.0,0.5947220238202612,0.9023197232605183,0.9023197232605183,PRESENT,NOMINAL_IDENTITY; AC2_EQUALS_AC1
FRAMEWORK,FRAMEWORK_CATEGORY,1206,1206,1.0,,,1.0,1.0,1.0,NOT_APPLICABLE_MULTICATEGORY,NOMINAL_IDENTITY; AC2_EQUALS_AC1
OUTCOME,Outcome_Domain,7567,5970,0.788952028544998,1.0,,0.6878487566204767,0.7764901971028205,0.7764901971028205,MAPPED_DOMAIN,NOMINAL_IDENTITY; AC2_EQUALS_AC1
OUTCOME,Outcome_Mapping,7567,5970,0.788952028544998,0.8699259259259259,0.8952767175572519,0.6907539135902208,0.7819353755705565,0.7819353755705565,MAPPED_OUTCOME,NOMINAL_IDENTITY; AC2_EQUALS_AC1
OUTCOME,Reporter,7567,2813,0.37174573807321265,0.5420038535645472,0.0,0.32405759976766546,0.2309999460448618,0.2309999460448618,SPECIFIED_REPORTER,NOMINAL_IDENTITY; AC2_EQUALS_AC1; SUPPLEMENTARY_EXPLORATORY_ONLY; NOT_FOR_PRIMARY_CONCLUSIONS
